#Field Tile Seq RA(hour) Dec(deg) Filter mean_Mag med_Mag mean_(B-R) med_(B-R)
#1 3444 614 5.02878 -69.171 B -5.912 -5.962 -0.335 -0.348
#MJD Mag Err
49087.383310 -5.869 0.048
49088.280162 -5.97 0.025
49089.281400 -5.988 0.017
49092.330544 -6.024 0.045
49093.223565 -5.985 0.041
49094.226528 -6.059 0.021
49095.225602 -6.088 0.053
49096.226632 -6.079 0.018
49096.333750 -5.985 0.027
49097.228866 -5.983 0.024
49097.356169 -5.917 0.043
49098.226632 -6.002 0.021
49098.328310 -5.808 0.034
49099.215880 -5.984 0.019
49099.317222 -5.727 0.033
49099.323322 -5.709 0.034
49100.213438 -5.837 0.031
49100.320995 -5.526 0.042
49101.228738 -5.636 0.033
49103.225185 -5.889 0.029
49104.379931 -5.906 0.038
49106.305926 -5.965 0.038
49107.243252 -6.014 0.034
49107.376262 -5.926 0.048
49108.227778 -6.002 0.029
49109.278333 -5.988 0.107
49111.288623 -6.098 0.101
49112.234387 -5.943 0.037
49114.218519 -5.941 0.043
49115.374687 -5.681 0.082
49117.226979 -5.684 0.051
49118.203102 -5.834 0.066
49120.209595 -5.987 0.045
49122.229838 -5.889 0.092
49123.209919 -5.987 0.039
49124.208958 -6.005 0.031
49125.204271 -5.977 0.028
49126.204977 -6.027 0.029
49127.213438 -6.016 0.027
49130.247743 -5.769 0.082
49132.331933 -5.979 0.103
49133.267049 -5.874 0.033
49134.211620 -6.003 0.028
49134.663275 -6.007 0.033
49135.192882 -5.996 0.025
49140.198843 -5.841 0.167
49140.621620 -5.674 0.097
49141.622037 -5.776 0.102
49142.605845 -5.993 0.172
49143.202905 -5.979 0.057
49143.606806 -6.014 0.098
49144.624734 -5.911 0.08
49145.193484 -5.981 0.272
49145.607303 -5.633 0.334
49146.192257 -5.609 0.105
49151.608009 -5.893 0.21
49152.191817 -6.003 0.034
49152.604005 -6.002 0.044
49153.200359 -6.022 0.037
49154.197581 -6.043 0.078
49155.230023 -5.826 0.162
49156.198750 -5.968 0.045
49161.190845 -5.803 0.484
49161.607766 -6.06 0.063
49162.232975 -5.798 0.073
49162.580833 -5.966 0.073
49163.195116 -5.941 0.042
49163.602130 -5.987 0.047
49163.615428 -6.0 0.038
49164.193785 -5.85 0.059
49164.588530 -5.968 0.059
49165.244491 -5.932 0.121
49165.565984 -6.107 0.066
49167.678912 -5.753 0.143
49169.193021 -6.069 0.245
49169.204699 -6.038 0.08
49169.604664 -5.662 0.067
49171.584884 -5.676 0.191
49172.190266 -5.986 0.073
49176.199873 -5.501 0.107
49178.587569 -6.001 0.04
49179.548056 -6.025 0.048
49180.197106 -6.02 0.056
49181.506146 -5.984 0.081
49181.661898 -6.018 0.021
49182.601771 -5.914 0.055
49183.495266 -5.982 0.135
49183.656319 -5.776 0.067
49184.488773 -5.95 0.058
49185.500185 -5.811 0.046
49186.510347 -5.532 0.135
49186.600104 -5.826 0.068
49188.483866 -5.808 0.071
49189.492315 -6.02 0.051
49194.506377 -5.931 0.058
49194.670336 -6.011 0.037
49195.455972 -6.045 0.052
49196.490359 -5.964 0.069
49199.517847 -5.905 0.06
49201.453681 -5.897 0.344
49203.474479 -5.787 0.092
49203.668773 -6.092 0.048
49204.473090 -5.922 0.054
49208.461794 -5.954 0.081
49208.663611 -5.994 0.043
49209.440972 -6.065 0.075
49209.666782 -5.828 0.15
49210.459005 -5.991 0.054
49210.664479 -5.81 0.096
49211.490463 -5.949 0.041
49212.603762 -5.839 0.17
49214.593079 -5.666 0.363
49215.431887 -5.965 0.144
49215.650972 -5.92 0.072
49216.418785 -5.845 0.311
49216.657535 -6.046 0.06
49217.427801 -5.626 0.033
49218.417963 -5.639 0.051
49218.659664 -5.774 0.084
49219.434456 -5.866 0.12
49220.525185 -5.791 0.148
49220.648924 -6.052 0.079
49221.414838 -6.048 0.061
49222.399861 -5.933 0.031
49223.401736 -5.997 0.048
49224.387338 -5.892 0.071
49225.607593 -5.969 0.041
49233.381319 -5.613 0.192
49233.412257 -5.533 0.16
49252.368484 -5.996 0.029
49253.374977 -5.978 0.045
49254.430914 -5.994 0.025
49255.348565 -6.0 0.046
49255.614815 -5.981 0.04
49256.361285 -5.939 0.03
49256.608831 -6.015 0.033
49257.357060 -6.019 0.025
49257.611551 -5.926 0.021
49258.316123 -6.026 0.076
49258.536470 -5.944 0.033
49259.520359 -5.848 0.051
49260.341319 -5.926 0.053
49264.530856 -6.054 0.06
49265.316053 -5.747 0.063
49265.610845 -5.942 0.047
49266.396713 -5.986 0.03
49267.412257 -5.98 0.046
49267.606597 -6.046 0.05
49268.371898 -6.044 0.035
49268.599132 -5.981 0.028
49269.411806 -6.031 0.07
49270.374954 -6.04 0.066
49270.612002 -6.1 0.089
49272.406273 -5.975 0.025
49273.289282 -5.951 0.04
49273.599676 -5.763 0.033
49276.557940 -5.808 0.033
49277.446852 -5.691 0.032
49279.537894 -6.032 0.038
49280.495324 -5.955 0.055
49282.344294 -5.983 0.026
49283.271343 -5.978 0.031
49283.588044 -6.058 0.024
49285.468495 -5.945 0.102
49286.282083 -6.053 0.046
49287.361389 -6.009 0.044
49287.594653 -5.72 0.141
49289.366065 -6.002 0.049
49290.569097 -5.847 0.082
49291.256968 -5.98 0.054
49291.529572 -5.908 0.054
49302.360058 -6.022 0.022
49302.524537 -5.926 0.036
49303.214641 -5.994 0.03
49307.291134 -5.774 0.025
49309.253981 -5.741 0.026
49311.303021 -5.929 0.042
49311.513090 -6.03 0.041
49312.315012 -6.028 0.025
49312.508600 -6.064 0.023
49313.270556 -5.952 0.048
49313.509491 -6.062 0.029
49314.242569 -6.061 0.068
49315.268507 -6.058 0.028
49317.270243 -6.029 0.019
49317.511134 -5.983 0.034
49318.402569 -6.003 0.059
49318.523958 -5.756 0.087
49372.256748 -6.005 0.022
49374.409468 -6.098 0.05
49374.424398 -6.064 0.036
49375.265961 -6.023 0.039
49375.550532 -6.008 0.042
49376.287199 -5.993 0.03
49376.530208 -5.929 0.035
49377.539826 -5.712 0.075
49378.241701 -5.833 0.094
49378.537002 -5.576 0.134
49379.497731 -5.929 0.48
49380.243715 -5.87 0.042
49382.543912 -6.154 0.119
49384.476840 -6.071 0.093
49386.266238 -5.977 0.039
49388.379086 -6.006 0.052
49389.509606 -5.988 0.039
49390.256655 -6.006 0.035
49390.556100 -5.894 0.081
49392.520521 -5.718 0.091
49396.363148 -5.581 0.087
49398.232836 -5.605 0.02
49399.237361 -5.805 0.044
49399.539329 -5.935 0.047
49400.256956 -6.021 0.041
49404.401181 -6.031 0.025
49405.327766 -6.023 0.026
49408.450833 -5.828 0.135
49409.365417 -5.85 0.084
49411.460451 -5.894 0.25
49412.112350 -5.815 0.041
49413.230787 -5.57 0.026
49414.246736 -5.833 0.032
49415.230278 -5.962 0.022
49416.222951 -6.008 0.019
