#Field Tile Seq RA(hour) Dec(deg) Filter mean_Mag med_Mag mean_(B-R) med_(B-R)
#1 3444 614 5.02878 -69.171 B -5.912 -5.962 -0.335 -0.348
#MJD Mag Err
50173.382072 -5.868 0.06
50174.279016 -5.905 0.09
50176.409421 -6.394 0.268
50178.244861 -6.059 0.053
50179.288715 -5.96 0.055
50181.312083 -5.973 0.038
50185.270475 -5.668 0.046
50188.239896 -5.977 0.338
50188.266053 -5.864 0.06
50192.244792 -6.016 0.022
50193.349062 -6.06 0.026
50196.300278 -5.978 0.054
50197.358611 -6.027 0.06
50198.390197 -5.684 0.082
50200.270116 -5.732 0.072
50201.280880 -5.621 0.042
50202.254954 -5.64 0.071
50206.249109 -5.955 0.051
50209.362813 -5.573 0.265
50210.318542 -5.967 0.085
50212.231898 -6.017 0.024
50214.258067 -5.929 0.032
50216.245035 -5.713 0.055
50218.199711 -5.827 0.022
50219.236481 -5.937 0.034
50220.289259 -5.965 0.031
50223.291979 -6.035 0.043
50224.235451 -5.96 0.04
50227.203125 -6.03 0.031
50228.302199 -5.87 0.033
50230.277940 -5.58 0.132
50232.201725 -5.583 0.034
50234.212326 -5.845 0.045
50236.199213 -6.001 0.038
50238.242813 -5.834 0.259
50239.614225 -5.824 0.102
50241.260579 -6.007 0.089
50243.202442 -5.945 0.028
50245.194595 -5.841 0.036
50247.207963 -5.672 0.041
50254.197720 -6.039 0.031
50255.191829 -5.995 0.033
50258.225255 -5.866 0.07
50263.606863 -6.052 0.044
50266.193657 -5.86 0.244
50267.202454 -5.995 0.024
50271.583623 -5.872 0.065
50271.673738 -5.899 0.037
50276.586620 -6.062 0.028
50276.630868 -6.152 0.098
50278.531366 -6.008 0.041
50296.587257 -5.901 0.079
50297.571493 -5.88 0.072
50300.485880 -5.857 0.12
50301.640856 -5.923 0.051
50302.494236 -5.645 0.074
50303.644375 -5.919 0.048
50304.540035 -5.682 0.053
50305.650058 -6.012 0.034
50307.474398 -5.975 0.047
50308.553322 -6.058 0.048
50310.596296 -5.961 0.032
50311.551829 -5.986 0.061
50315.522326 -5.69 0.027
50319.613287 -6.014 0.023
50320.650660 -5.979 0.048
50322.451262 -6.115 0.088
50327.576736 -6.036 0.078
50329.582963 -5.618 0.059
50333.468056 -5.826 0.059
50333.502755 -6.12 0.111
50335.508542 -5.881 0.029
50340.602083 -5.931 0.04
50341.470532 -5.947 0.046
50341.510822 -5.988 0.034
50346.553021 -5.793 0.079
50348.359016 -5.989 0.123
50349.473646 -5.922 0.027
50350.439861 -5.938 0.044
50352.399074 -6.025 0.105
50353.335069 -5.998 0.043
50359.408993 -5.983 0.021
50360.436030 -5.914 0.024
50364.327083 -5.658 0.068
50364.587326 -5.926 0.039
50366.428958 -5.906 0.025
50368.368183 -5.976 0.072
50369.388970 -5.987 0.012
50370.372407 -5.967 0.022
50371.355532 -5.97 0.019
50374.373229 -5.965 0.026
50376.353032 -5.762 0.065
50376.594803 -5.891 0.037
50377.381829 -5.777 0.022
50379.399294 -5.886 0.024
50380.354086 -5.888 0.081
50384.385729 -5.957 0.047
50385.436146 -6.011 0.036
50385.440567 -6.03 0.035
50389.284641 -5.979 0.024
50394.528287 -5.957 0.023
50395.369919 -5.92 0.022
50396.480567 -6.03 0.023
50397.426898 -6.095 0.04
50399.438160 -6.005 0.043
50401.424722 -5.959 0.035
50405.291933 -5.969 0.023
50406.291273 -5.927 0.019
50406.524664 -5.889 0.024
50407.324433 -5.693 0.045
50409.296065 -5.746 0.051
50410.372743 -5.916 0.041
50411.374387 -5.969 0.027
50416.480475 -5.967 0.043
50417.500150 -5.943 0.046
50419.286921 -6.011 0.045
50419.342755 -5.93 0.029
50420.339109 -5.904 0.024
50422.451030 -5.838 0.024
50424.297419 -5.716 0.042
50425.490440 -5.887 0.024
50426.336042 -5.978 0.015
50428.412616 -5.972 0.027
50429.480602 -5.972 0.047
50431.318646 -5.967 0.025
50432.347211 -6.001 0.034
50433.359468 -5.937 0.054
50435.366921 -5.879 0.021
50436.396134 -5.543 0.052
50437.320799 -5.608 0.046
50438.360868 -5.809 0.056
50439.497558 -5.98 0.053
50440.480891 -5.989 0.047
50445.365509 -6.035 0.026
50448.336030 -6.039 0.025
50450.458762 -5.652 0.023
50451.391343 -5.515 0.023
50452.340521 -5.633 0.025
50453.373067 -5.925 0.036
50455.452361 -6.025 0.027
50456.500046 -5.974 0.032
50461.299549 -5.972 0.02
50461.535833 -5.967 0.034
50462.302488 -5.997 0.059
50463.472153 -5.869 0.029
50465.305139 -5.965 0.027
50467.323681 -5.674 0.051
50468.344491 -5.898 0.053
50469.408970 -6.016 0.038
50470.411042 -6.009 0.044
50478.498310 -5.774 0.04
50479.433819 -5.73 0.034
50484.352130 -5.989 0.017
50494.329028 -5.998 0.029
50496.514259 -6.145 0.116
50498.539155 -6.293 0.027
50507.490069 -5.859 0.053
50518.410347 -6.004 0.026
50521.387917 -5.98 0.037
50526.330162 -5.681 0.083
50530.255451 -5.941 0.046
50533.408461 -5.949 0.049
50539.275775 -5.968 0.025
50542.316042 -5.715 0.075
50545.430532 -6.173 0.176
50550.380035 -5.949 0.025
50553.321644 -5.94 0.037
50557.408414 -5.913 0.073
50565.345486 -5.969 0.03
50569.384248 -5.833 0.041
50577.265220 -5.986 0.076
50581.266956 -5.975 0.027
50595.265914 -6.028 0.041
50601.268542 -5.751 0.042
50607.641435 -5.979 0.027
50614.629676 -5.969 0.059
50620.210775 -5.744 0.1
50633.206493 -5.597 0.826
50639.547373 -5.972 0.046
50642.505359 -5.662 0.052
50647.565370 -5.941 0.046
50656.612465 -5.678 0.061
50659.485463 -5.649 0.031
50661.623356 -6.048 0.058
50669.503750 -5.947 0.024
50670.656597 -5.509 0.116
50675.471111 -5.44 0.365
50679.422627 -5.987 0.057
50680.600741 -5.989 0.023
50682.453773 -6.003 0.06
50684.616181 -5.851 0.141
50689.564086 -5.968 0.022
50701.557454 -5.658 0.02
50704.541470 -5.948 0.022
50714.465521 -5.935 0.027
50717.550937 -5.592 0.025
50719.490475 -5.831 0.036
50721.385764 -5.824 0.022
50722.513032 -5.942 0.039
50725.332940 -5.929 0.042
50730.411238 -5.947 0.017
50731.536539 -5.669 0.083
50733.405359 -5.686 0.065
50734.501377 -5.77 0.068
50736.366435 -6.158 0.133
50737.431053 -5.974 0.089
50739.340683 -6.074 0.07
50742.305613 -6.006 0.035
50744.511667 -5.933 0.032
50746.385914 -5.951 0.025
50748.359039 -5.56 0.063
50767.318912 -5.979 0.024
50769.392164 -5.998 0.029
50771.453843 -5.988 0.022
50775.478056 -5.832 0.063
50785.319896 -5.921 0.03
50796.309884 -5.913 0.027
50797.504873 -5.971 0.029
50803.477662 -6.029 0.038
50808.316435 -5.743 0.071
50812.365208 -5.952 0.021
50818.524225 -5.972 0.029
50830.423889 -6.004 0.046
50834.465984 -5.987 0.024
50836.520093 -5.584 0.144
50841.308993 -5.973 0.014
50844.391319 -6.005 0.017
50848.471030 -6.004 0.032
50857.276134 -5.976 0.059
50861.275729 -6.048 0.014
50862.497905 -5.911 0.033
50864.528194 -5.702 0.062
50866.442153 -5.673 0.108
50869.264606 -5.675 0.048
50874.390394 -6.045 0.031
50879.263310 -5.966 0.033
50881.333692 -5.926 0.032
50884.401551 -5.953 0.075
50908.335185 -5.991 0.024
50916.398079 -5.835 0.218
50921.386609 -6.001 0.06
50941.192546 -5.986 0.053
50951.300787 -5.909 0.068
50982.182905 -6.014 0.032
50994.631030 -5.972 0.047
51000.587037 -5.817 0.03
51005.552847 -6.01 0.064
51017.536748 -5.964 0.043
51028.466447 -5.906 0.054
51033.648148 -5.961 0.039
51047.619815 -5.885 0.031
51051.538252 -5.943 0.033
51056.406933 -5.967 0.043
51061.467326 -5.92 0.068
51072.414873 -6.013 0.049
51073.585567 -5.566 0.046
51082.594711 -5.985 0.021
51085.362014 -6.028 0.066
51086.581412 -5.843 0.093
51089.466771 -5.635 0.1
51097.459722 -5.772 0.187
51099.576968 -6.035 0.112
51102.371123 -5.969 0.048
51106.435984 -5.683 0.068
51109.472373 -5.992 0.019
51111.437500 -6.019 0.36
51111.477662 -6.007 0.086
51113.547731 -5.945 0.063
51118.432083 -5.844 0.055
51120.481030 -5.835 0.04
51131.497870 -5.45 0.518
51136.526806 -5.936 0.034
51141.342674 -5.931 0.028
51147.454086 -5.862 0.023
51156.269641 -5.987 0.027
51167.436169 -6.032 0.032
51171.398866 -6.002 0.016
51176.376528 -5.947 0.046
51180.460220 -5.894 0.042
51183.344514 -5.952 0.027
51188.242870 -5.995 0.04
51193.486921 -5.592 0.1
51204.533507 -6.181 0.043
51214.418900 -6.575 0.037
51223.508692 -5.613 0.043
51227.485104 -5.969 0.045
51237.249479 -5.969 0.028
51241.367650 -5.927 0.068
51246.421493 -6.024 0.022
51249.414722 -5.971 0.025
51262.217303 -6.02 0.028
51277.413403 -5.993 0.036
51279.417199 -6.0 0.021
51285.374456 -5.625 0.036
51286.381644 -5.852 0.039
51289.287627 -6.028 0.094
51292.278449 -5.988 0.026
51299.291690 -5.914 0.071
51302.279005 -5.766 0.034
51305.270359 -5.996 0.038
51308.256562 -6.034 0.027
51313.217130 -6.228 0.195
51317.261944 -5.829 0.031
51326.222442 -5.896 0.043
51339.212731 -5.963 0.067
51350.669850 -5.962 0.046
51364.193183 -5.863 0.119
51382.605521 -5.953 0.026
51389.617257 -5.979 0.083
51393.557442 -5.952 0.045
51401.545359 -5.583 0.044
51405.657141 -5.982 0.035
51408.601852 -6.012 0.036
51411.592847 -5.955 0.057
51414.526968 -5.858 0.029
51421.462396 -5.841 0.033
51424.478356 -5.971 0.036
51431.467130 -5.7 0.086
51433.593194 -5.97 0.032
51435.568542 -6.005 0.024
51440.429317 -5.98 0.035
51443.546042 -5.925 0.04
51450.408218 -6.005 0.059
51462.365278 -5.785 0.116
51463.537118 -5.926 0.037
51468.473854 -6.005 0.026
51471.379803 -5.87 0.029
51472.524039 -6.06 0.041
51478.357870 -5.54 0.051
51479.490509 -6.004 0.025
51484.263657 -5.979 0.036
51488.448588 -5.978 0.018
51491.480567 -5.717 0.049
51493.515324 -5.788 0.024
51495.492697 -5.962 0.037
51505.470833 -5.671 0.046
51510.444271 -5.991 0.019
51513.293056 -5.984 0.02
51514.451319 -6.036 0.03
51526.316157 -5.994 0.02
51531.401331 -6.009 0.043
51541.344537 -5.985 0.024
51546.325197 -5.997 0.027
