#Field Tile Seq RA(hour) Dec(deg) Filter mean_Mag med_Mag mean_(B-R) med_(B-R)
#1 3444 614 5.02878 -69.171 R -5.578 -5.614 -0.335 -0.348
#MJD Mag Err
49233.381319 -5.12 0.239
49233.412257 -5.169 0.197
49252.368484 -5.606 0.045
49253.374977 -5.633 0.061
49254.430914 -5.594 0.038
49255.348565 -5.645 0.065
49256.361285 -5.584 0.048
49257.357060 -5.618 0.031
49258.316123 -5.577 0.106
49258.536470 -5.516 0.038
49259.520359 -5.278 0.086
49260.341319 -5.637 0.061
49264.530856 -5.68 0.08
49265.316053 -5.43 0.096
49266.396713 -5.591 0.054
49267.412257 -5.723 0.073
49268.371898 -5.591 0.057
49269.411806 -5.811 0.079
49270.374954 -5.855 0.074
49272.406273 -5.626 0.035
49273.289282 -5.681 0.051
49276.557940 -5.534 0.036
49277.446852 -5.377 0.041
49279.537894 -5.635 0.056
49280.495324 -5.711 0.067
49282.344294 -5.589 0.041
49283.271343 -5.559 0.049
49285.468495 -5.691 0.112
49286.282083 -5.476 0.068
49287.361389 -5.581 0.052
49289.366065 -5.512 0.07
49290.569097 -5.388 0.118
49291.256968 -5.692 0.068
49302.360058 -5.633 0.033
49303.214641 -5.654 0.041
49307.291134 -5.373 0.037
49309.253981 -5.338 0.036
49311.303021 -5.535 0.064
49312.315012 -5.65 0.033
49313.270556 -5.662 0.058
49314.242569 -5.559 0.09
49315.268507 -5.583 0.042
49317.270243 -5.666 0.025
49318.402569 -5.634 0.083
49372.256748 -5.637 0.031
49375.265961 -5.654 0.052
49376.287199 -5.634 0.041
49378.241701 -5.556 0.093
49380.243715 -5.621 0.049
49386.266238 -5.635 0.046
49390.256655 -5.621 0.042
49398.232836 -5.151 0.037
49399.237361 -5.465 0.052
49400.256956 -5.642 0.063
49413.230787 -5.141 0.044
49414.246736 -5.47 0.042
49415.230278 -5.596 0.027
49416.222951 -5.616 0.026
49417.228715 -5.638 0.039
49423.211713 -5.67 0.082
49426.216516 -5.53 0.034
49432.217963 -5.65 0.042
49487.657442 -5.662 0.049
49488.648333 -5.69 0.223
49491.638252 -5.673 0.095
49493.632824 -5.529 0.274
49494.640451 -5.631 0.058
49496.634977 -5.616 0.171
49500.662118 -5.999 0.07
49511.603032 -5.552 0.144
49512.597743 -5.248 0.16
49513.642245 -5.494 0.053
49517.563102 -5.75 0.104
49518.574329 -5.745 0.117
49518.584155 -5.85 0.166
49520.580926 -5.646 0.159
49521.659954 -5.655 0.085
49522.590336 -5.68 0.059
49525.618044 -5.553 0.11
49530.650521 -5.555 0.08
49531.571065 -5.626 0.047
49532.643148 -5.591 0.042
49534.609757 -5.7 0.094
49535.666181 -5.631 0.035
49537.653044 -5.956 0.132
49538.613183 -5.777 0.082
49539.619271 -5.585 0.096
49540.600035 -5.575 0.091
49541.607407 -5.203 0.057
49545.505961 -5.549 0.072
49546.504340 -5.681 0.086
49546.664780 -5.683 0.048
49550.642002 -5.67 0.066
49551.620637 -5.621 0.03
49552.672813 -5.667 0.035
49553.463125 -5.788 0.117
49554.474803 -5.428 0.135
49554.670185 -5.487 0.077
49555.511400 -5.426 0.204
49555.650775 -5.167 0.178
49556.515694 -5.562 0.074
49556.652164 -5.34 0.075
49557.598368 -5.375 0.1
49558.548252 -5.337 0.177
49559.483356 -5.244 0.182
49559.660023 -5.598 0.043
49560.529965 -6.012 0.239
49560.669664 -5.994 0.202
49561.540579 -5.629 0.072
49562.571782 -5.58 0.05
49566.465613 -5.6 0.1
49566.651667 -5.623 0.035
49567.502662 -5.652 0.037
49567.658750 -5.659 0.038
49568.540208 -5.548 0.068
49568.655775 -5.738 0.084
49569.508345 -5.577 0.035
49569.658021 -5.481 0.045
49571.472593 -5.609 0.077
49571.659850 -5.418 0.139
49572.479294 -5.629 0.159
49572.492743 -5.401 0.143
49572.655312 -5.522 0.063
49573.470069 -5.398 0.081
49574.470880 -5.809 0.034
49574.506725 -5.332 0.032
49574.656053 -5.344 0.998
49577.450046 -5.646 0.072
49577.640810 -5.636 0.057
49578.462928 -5.61 0.048
49578.640104 -5.651 0.027
49579.471620 -5.604 0.035
49579.635313 -5.618 0.021
49580.427720 -5.612 0.043
49580.644201 -5.639 0.037
49581.477373 -5.631 0.084
49585.457824 -5.723 0.081
49586.463229 -5.706 0.128
49587.461227 -5.465 0.086
49588.497789 -5.291 0.069
49589.427639 -5.133 0.058
49589.501157 -5.496 0.036
49590.435660 -5.469 0.041
49591.458102 -5.548 0.05
49592.427187 -5.556 0.083
49595.463808 -5.693 0.052
49596.456875 -5.622 0.031
49597.525046 -5.653 0.029
49598.488704 -5.736 0.056
49599.492442 -5.667 0.068
49601.566019 -5.351 0.083
49602.448519 -5.463 0.051
49604.465787 -5.328 0.036
49605.454722 -5.537 0.033
49606.458333 -5.637 0.03
49607.334745 -5.507 0.177
49608.459375 -5.679 0.091
49609.485799 -5.724 0.06
49610.439560 -5.758 0.087
49611.445440 -5.764 0.159
49612.442604 -5.477 0.126
49613.617975 -5.565 0.06
49614.445602 -6.001 0.22
49616.469907 -5.578 0.062
49617.424745 -5.649 0.106
49618.422975 -5.427 0.093
49619.421725 -5.278 0.388
49620.455741 -5.58 0.032
49621.566123 -5.713 0.067
49622.454387 -5.802 0.11
49623.453935 -5.626 0.065
49624.619896 -5.651 0.078
49625.435903 -5.632 0.038
49627.442859 -5.618 0.058
49628.494780 -5.707 0.037
49629.496192 -5.696 0.074
49630.418403 -5.593 0.029
49633.364213 -5.413 0.048
49634.353623 -5.208 0.057
49635.423981 -5.552 0.056
49636.394769 -5.62 0.079
49637.476331 -5.592 0.029
49638.451065 -5.647 0.048
49639.399329 -5.616 0.029
49640.433588 -5.592 0.033
49641.543287 -5.645 0.026
49642.343148 -5.651 0.052
49645.324005 -5.57 0.091
49647.533079 -5.222 0.063
49648.334387 -5.485 0.048
49649.330694 -5.344 0.143
49651.453623 -5.638 0.043
49653.393981 -5.634 0.056
49654.359919 -5.682 0.079
49660.436725 -5.609 0.041
49664.478218 -5.354 0.066
49665.333646 -5.388 0.043
49666.287361 -5.417 0.05
49667.415822 -5.647 0.041
49670.306794 -5.727 0.052
49671.266678 -5.621 0.098
49672.243854 -5.572 0.062
49673.356007 -5.671 0.064
49674.490833 -5.656 0.094
49676.306979 -5.68 0.094
49681.291910 -5.471 0.033
49682.310359 -5.609 0.046
49687.295926 -5.616 0.155
49688.308090 -5.668 0.048
49689.372025 -5.664 0.037
49690.299375 -5.584 0.022
49691.344016 -5.61 0.019
49692.365949 -5.386 0.022
49693.317627 -5.435 0.025
49695.347037 -5.531 0.061
49696.342384 -5.611 0.031
49697.362593 -5.6 0.019
49698.467141 -5.603 0.038
49699.478530 -5.831 0.133
49700.309792 -5.71 0.112
49702.322581 -5.641 0.062
49703.392674 -5.689 0.059
49704.317535 -5.696 0.077
49705.381458 -5.74 0.062
49715.276400 -5.659 0.081
49723.303125 -5.386 0.04
49727.280833 -5.584 0.042
49883.671562 -5.212 0.098
49901.667627 -5.627 0.03
49905.641829 -5.596 0.043
49907.633657 -5.671 0.062
49912.645428 -5.149 0.163
49916.661736 -5.798 0.065
49917.610382 -5.649 0.069
49921.552639 -5.616 0.146
49927.471157 -5.779 0.071
49929.560000 -5.221 0.112
49931.629039 -5.645 0.07
49933.468576 -5.608 0.041
49935.583218 -5.689 0.067
49936.571076 -5.675 0.057
49937.586053 -5.592 0.113
49938.456979 -5.811 0.092
49939.483796 -5.601 0.054
49940.621991 -5.575 0.047
49941.465301 -5.53 0.058
49942.537986 -5.516 0.026
49943.530891 -5.32 0.047
49944.553102 -5.346 0.06
49945.536076 -5.461 0.156
49946.622500 -5.67 0.076
49947.625185 -5.633 0.021
49948.572234 -5.667 0.08
49949.429433 -5.599 0.058
49951.449595 -5.853 0.085
49952.529676 -5.615 0.031
49953.446400 -5.597 0.05
49954.534132 -5.701 0.082
49955.621678 -5.66 0.081
49957.399525 -5.629 0.033
49958.651366 -5.521 0.149
49961.412928 -5.363 0.069
49963.594375 -5.534 0.096
49965.458472 -5.784 0.147
49966.511157 -5.561 0.04
49967.406146 -5.629 0.061
49969.372153 -5.584 0.064
49970.369016 -5.583 0.075
49971.638762 -5.425 0.044
49972.382523 -5.616 0.05
49973.617662 -5.435 0.112
49974.585220 -5.37 0.043
49980.410174 -5.658 0.086
49982.345081 -5.612 0.065
49986.396597 -5.585 0.043
49987.355741 -5.557 0.03
49994.384502 -5.544 0.046
49994.591169 -5.621 0.039
49995.560822 -5.708 0.049
49996.418924 -5.616 0.043
49997.475694 -5.819 0.144
49998.499271 -5.605 0.044
50003.433958 -5.601 0.098
50005.414317 -5.244 0.031
50006.400417 -5.307 0.044
50007.482419 -5.625 0.06
50013.367569 -5.647 0.05
50015.336262 -3.481 6.909
50019.431563 -5.196 0.068
50021.427106 -5.543 0.061
50022.459444 -5.632 0.07
50029.303681 -5.83 0.103
50031.323218 -6.424 0.545
50031.341771 -5.623 0.151
50033.305185 -5.66 0.041
50038.379792 -5.632 0.021
50038.497442 -5.629 0.031
50044.288241 -5.788 0.092
50045.364687 -5.62 0.042
50046.350023 -5.683 0.063
50047.425162 -5.625 0.071
50048.404525 -5.348 0.054
50054.307326 -5.689 0.05
50057.329583 -5.615 0.121
50058.341435 -5.693 0.051
50061.340069 -5.76 0.042
50063.310532 -5.667 0.046
50066.343727 -5.415 0.031
50071.280058 -5.609 0.023
50072.342384 -5.7 0.063
50074.310822 -5.642 0.046
50077.381400 -5.562 0.019
50088.326250 -5.634 0.026
50089.320174 -5.652 0.032
50091.352442 -5.289 0.277
50091.397766 -5.609 0.025
50095.346123 -5.21 0.052
50105.323831 -5.636 0.047
50239.614225 -5.401 0.146
50263.606863 -5.731 0.073
50271.673738 -5.663 0.047
50276.586620 -5.747 0.039
50276.630868 -5.725 0.151
50278.531366 -5.601 0.062
50293.575972 -5.574 0.273
50296.587257 -5.69 0.08
50297.571493 -5.721 0.073
50300.485880 -5.778 0.125
50301.640856 -5.61 0.065
50302.494236 -5.305 0.109
50303.644375 -5.692 0.063
50304.540035 -5.637 0.062
50305.650058 -5.583 0.052
50307.474398 -5.632 0.067
50308.553322 -5.775 0.072
50310.596296 -5.634 0.043
50311.551829 -5.718 0.085
